18,189
22,217
26,245
34,269
43,298
59,319
82,341
102,361
147,382
188,359
211,335
234,310
249,283
256,258
262,232
264,208
262,174
262,174
35,147
52,138
74,138
98,147
114,158
174,155
195,143
212,136
230,132
246,141
141,182
141,206
141,230
142,252
111,264
127,268
143,274
160,268
178,262
58,178
63,166
80,162
105,181
88,186
73,186
174,180
191,165
218,159
237,170
221,176
201,178
97,306
117,298
133,295
144,304
157,295
174,300
192,304
178,319
163,331
145,331
126,329
111,320
118,309
134,310
146,312
158,306
169,310
158,315
146,318
130,317
